ref;nump;reg;dpt;com;insee;edif;adresse;leg;lieucor;autp;autoeu;scle;datpv;serie;typdoc;lbase;copy;video_v;video_p;wgs84;filename
APMH00006801;MH0006801;Ile-de-France;77;Provins;77379;Eglise Saint-Quiriace;;Choeur;;Durand, Eugène (photographe);;;;;Négatif;PA00087203;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0010/sap01_mh006801_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/e434ac6fcaad3030fd11eec78bdee2ff/;48.560847, 3.290922;http://www.culture.gouv.fr/Wave/image/memoire/0010/sap01_mh006801_p.jpg
APMH00014661;MH0014661;Ile-de-France;77;Provins;77379;Eglise Saint-Quiriace;;;;"Neurdein (frères) ; Neurdein, Louis ; Neurdein, Louis (photographe)";;;1905 (avant, supposé);;Négatif;"PA00087203 ; PM77001944";Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0316/sap01_mh014661_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/e24ec7827b38ba67948b3309235c8497/;48.560847, 3.290922;http://www.culture.gouv.fr/Wave/image/memoire/0316/sap01_mh014661_p.jpg
APMH00014658;MH0014658;Ile-de-France;77;Provins;77379;Eglise Saint-Quiriace;;Grille intérieure du portail ouest;;"Neurdein (frères) ; Neurdein, Louis ; Neurdein, Louis (photographe)";;;1905 (avant, supposé);;Négatif;"PA00087203 ; PM77001410";Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0316/sap01_mh014658_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/6332b3550c3e3064a38ea5008e39d0fe/;48.560847, 3.290922;http://www.culture.gouv.fr/Wave/image/memoire/0316/sap01_mh014658_p.jpg
APMH00014651;MH0014651;Ile-de-France;77;Provins;77379;Eglise Saint-Quiriace;;Chapiteaux;;"Neurdein (frères) ; Neurdein, Louis ; Neurdein, Louis (photographe)";;;1905 (avant, supposé);;Négatif;PA00087203;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0316/sap01_mh014651_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/b83f58681ee6f2126857d739abed5918/;48.560847, 3.290922;http://www.culture.gouv.fr/Wave/image/memoire/0316/sap01_mh014651_p.jpg
APMH00014646;MH0014646;Ile-de-France;77;Provins;77379;Eglise Saint-Quiriace;;Vue intérieure du bas-côté nord, vers l'ouest;;"Neurdein (frères) ; Neurdein, Louis ; Neurdein, Louis (photographe)";;;1905 (avant, supposé);;Négatif;PA00087203;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0316/sap01_mh014646_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/6b7f8e3f1f1fd85e5eb020e00c5723ca/;48.560847, 3.290922;http://www.culture.gouv.fr/Wave/image/memoire/0316/sap01_mh014646_p.jpg
APMH00007370;MH0007370;Ile-de-France;77;Provins;77379;Croix;;Croix;;Durand, Eugène (photographe);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0008/sap01_mh007370_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/df1376996c9496f4215b5e7995ed3517/;48.5620509, 3.298383;http://www.culture.gouv.fr/Wave/image/memoire/0008/sap01_mh007370_p.jpg
APMH00016624;MH0016624;Ile-de-France;77;Moisenay;77295;Eglise;;Façade ouest et clocher;;Durand, Jean-Eugène (photographe);;;1919 (avant);;Négatif;PA00087107;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0338/sap01_mh016624_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/89aa8360b7d864c24024540ac1fd6f5a/;48.562191, 2.7348736;http://www.culture.gouv.fr/Wave/image/memoire/0338/sap01_mh016624_p.jpg
APMH00012783;MH0012783;Ile-de-France;77;Moisenay;77295;Eglise;;Vue intérieure de la nef vers le choeur;;Durand, Jean-Eugène (photographe);;;1905 (avant, supposé);;Négatif;PA00087107;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0401/sap01_mh012783_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/0e67664e764e3c0694679d268e9fd3d8/;48.562191, 2.7348736;http://www.culture.gouv.fr/Wave/image/memoire/0401/sap01_mh012783_p.jpg
APMH00035923;MH0035923;Ile-de-France;77;Provins;77379;Remparts;;;;Enlart, Camille (historien);;;;;Négatif;;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh035923_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/836cd97ecbab45997c1ce2b375952675/;48.5634022, 3.2814414;http://www.culture.gouv.fr/Wave/image/memoire/0029/sap01_mh035923_p.jpg
APMH00011494;MH0011494;Ile-de-France;77;Provins;77379;Remparts;;;;Durand, Eugène (photographe);;;;;Négatif;PA00087247;Ministère de la Culture (France) - Médiathèque de l'architecture et du patrimoine - diffusion RMN;http://www.culture.gouv.fr/Wave/image/memoire/0011/sap01_mh011494_v.jpg;http://data.iledefrance.fr/api/datasets/1.0/photographies-serie-monuments-historiques-1851-a-1914/images/a31b7f388ef47c459a9cb9ed7f573646/;48.5634022, 3.2814414;http://www.culture.gouv.fr/Wave/image/memoire/0011/sap01_mh011494_p.jpg
